"We offer 3 different layout options by default:<br /><strong>Carousel</strong> allows you to slide through the different recommended products. A carousel with <em>Shown item counts</em> = 1 will only display 1 product at a time.<br /><strong>Carousel displaying a highlighted top item</strong> consists of 2 rows with a <em>Carousel</em> layout in the lower one and additionally highlights the first recommended product more prominently on the first row.<br /><strong>Simple list</strong> displays a list of recommended products analogous to the standard Magento product lists.","Wir bieten Ihnen 3 verschiedene Layout-Varianten: <br />Das <strong>Karussell</strong> erlaubt es, durch die verschiedenen empfohlenen Produkte zu sliden. Ein Karussell mit der Option <em>Anzahl angezeigter Produkte</em> = 1 zeigt nur 1 einziges Produkt gleichzeitig an.<br />Ein <strong>Karussel mit hervorgehobenem Top-Produkt</strong> besteht aus 2 Zeilen, mit einem einfachen <em>Karussel</em>-Layout im unteren Teil und zusätzlich einer besonderen Empfehlung des am besten passenden Produkts in der ersten Zeile.<br />Das Layout der <strong>einfachen Produktliste</strong> zeigt eine Liste der empfohlenen Produkte analog zu den Standard Magento Produktlisten."
"Carousel","Karussell"
"Carousel displaying a highlighted top item","Karussel mit hervorgehobenem Top-Produkt"
"Simple list","Einfache Produktliste"
"Recommendation block title","Titel für die Empfehlungen"
"License Management","Lizenz-Management"
"BESUGRE Recommendation license key","BESUGRE Recommendation Lizenzschlüssel"
"General","Allgemein"
"Product list recommendation configuration","Konfiguration der Empfehlungen in Produktlisten"
"Product detail page recommendation configuration","Konfiguration der Empfehlungen auf Produktdetailseiten"
"Cart page recommendation configuration","Konfiguration der Empfehlungen im Warenkorb"
"Order success page recommendation configuration","Konfiguration der Empfehlungen auf der Bestellabschlussseite"
"Customer account page recommendation configuration","Konfiguration der Empfehlungen im Kundenkonto"
"Enable Extension","Modul aktivieren"
"Show recommendations on product lists","Produktempfehlungen in Produktlisten anzeigen"
"Title","Titel"
"Position on page","Position auf der Seite"
"Items to show at once","Anzahl gleichzeitig angezeigter Produkte"
"Maximum recommended items","Maximale Anzahl an empfohlenen Produkten"
"Show recommendations on product detail page","Produktempfehlungen auf Produktdetailseiten anzeigen"
"Show recommendations on cart page","Produktempfehlungen im Warenkorb anzeigen"
"Show recommendations on order success page","Produktempfehlungen auf der Bestellabschlussseite anzeigen"
"Show recommendations on customer account page","Produktempfehlungen im Kundenkonto anzeigen"
"On the top of the main content column","In der Hauptspalte oben"
"On the bottom of the main content column","In der Hauptspalte unten"
"On the top of the left column","In der linken Spalte oben"
"On the bottom of the left column","In der linken Spalte unten"
"On the top of the right column","In der rechten Spalte oben"
"On the bottom of the right column","In der rechten Spalte unten"
"You receive your BESUGRE Recommendation license key via email after your purchase. If you have questions please don't hesitate to contact BESUGRE on <a href=""http://www.besugre.com"">http://www.besugre.com</a>.","Sie haben Ihren BESUGRE Recommendation Lizenzschlüssel im Anschluss an Ihren Kauf per E-Mail erhalten. Für Fragen zu unserer Extension stehen wir Ihnen gerne unter <a href=""http://www.besugre.com"">http://www.besugre.com</a> zur Verfügung."
